id,taxonID,nameAccordingTo,scientificName,acceptedNameUsage,acceptedNameUsageID,parentNameUsageID,kingdom,phylum,class,order,family,subfamily,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,taxonomicStatus,language,references,TaxonomicOrder_Pelham,taxonRemarks,grank,srank,SGCN,concatenate
VBS:1,VBS:1,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Battus philenor,Battus philenor,VBS:1,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilioninae,Battus,,philenor,,species,"(Linnaeus, 1771)",accepted,EN,,335,"|{conservation_status:{grank:,srank:SNA,sgcn:}}",,SNA,,"|{conservation_status:{grank:,srank:SNA,sgcn:}}"
VBS:2,VBS:2,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Papilio polyxenes,Papilio polyxenes,VBS:2,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilioninae,Papilio,Papilio,polyxenes,,species,"Fabricius, 1775",accepted,EN,,345,"|{conservation_status:{grank:,srank:S5,sgcn:}}",,S5,,"|{conservation_status:{grank:,srank:S5,sgcn:}}"
VBS:3,VBS:3,,Pterourus canadensis,Papilio canadensis,VBS:3.2,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,,Pterourus,,canadensis,,species,,synonym,EN,,,"|{conservation_status:{grank:,srank:,sgcn:}}",,,,"|{conservation_status:{grank:,srank:,sgcn:}}"
VBS:3.2,VBS:3.2,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Papilio canadensis,Papilio canadensis,VBS:3.2,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilioninae,Papilio,Pterourus,canadensis,,species,"(Rothschild & Jordan, 1906)",accepted,EN,,366,"|{conservation_status:{grank:,srank:S5,sgcn:}}",,S5,,"|{conservation_status:{grank:,srank:S5,sgcn:}}"
VBS:3.1,VBS:3.1,,Pterourus solstitius,Papilio solstitius,VBS:3.3,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,,Pterourus,,solstitius,,species,,synonym,EN,,,"|{conservation_status:{grank:,srank:,sgcn:}}",,,,"|{conservation_status:{grank:,srank:,sgcn:}}"
VBS:3.3,VBS:3.3,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. | DeRoller, C. J., Wang, X., Dupuis, J. R., & Schmidt, B. C. (2025). A cryptic new species of tiger swallowtail (Lepidoptera, Papilionidae) from eastern North America. ZooKeys, 1228, 69-97.",Papilio solstitius,Papilio solstitius,VBS:3.3,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilioninae,Papilio,Pterourus,solstitius,,species,"DeRoller, Wang, Dupuis & Schmidt, 2025",accepted,EN,,369,"|{conservation_status:{grank:,srank:S5,sgcn:}}",,S5,,"|{conservation_status:{grank:,srank:S5,sgcn:}}"
VBS:4,VBS:4,,Pterourus glaucus,Papilio glaucus,VBS:4.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,,Pterourus,,glaucus,,species,,synonym,EN,,,"|{conservation_status:{grank:,srank:,sgcn:}}",,,,"|{conservation_status:{grank:,srank:,sgcn:}}"
VBS:4.1,VBS:4.1,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Papilio glaucus,Papilio glaucus,VBS:4.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilioninae,Papilio,Pterourus,glaucus,,species,"(Linnaeus, 1758)",accepted,EN,,364,"|{conservation_status:{grank:,srank:S3,sgcn:}}",,S3,,"|{conservation_status:{grank:,srank:S3,sgcn:}}"
VBS:5,VBS:5,,Pterourus troilus,Papilio troilus,VBS:5.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,,Pterourus,,troilus,,species,,synonym,EN,,,"|{conservation_status:{grank:,srank:,sgcn:}}",,,,"|{conservation_status:{grank:,srank:,sgcn:}}"
VBS:5.1,VBS:5.1,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Papilio troilus,Papilio troilus,VBS:5.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilioninae,Papilio,Pterourus,troilus,,species,"(Linnaeus, 1758)",accepted,EN,,359,"|{conservation_status:{grank:,srank:S1,sgcn:}}",,S1,,"|{conservation_status:{grank:,srank:S1,sgcn:}}"
VBS:6,VBS:6,,Heraclides cresphontes,Papilio cresphontes,VBS:6.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,,Heraclides,,cresphontes,,species,,synonym,EN,,,"|{conservation_status:{grank:,srank:,sgcn:}}",,,,"|{conservation_status:{grank:,srank:,sgcn:}}"
VBS:6.1,VBS:6.1,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Papilio cresphontes,Papilio cresphontes,VBS:6.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilioninae,Papilio,Heraclides,cresphontes,,species,"(Cramer, 1777)",accepted,EN,,352,"|{conservation_status:{grank:,srank:S5,sgcn:}}",,S5,,"|{conservation_status:{grank:,srank:S5,sgcn:}}"
VBS:7,VBS:7,,Pyrisitia lisa,Eurema lisa,VBS:7.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,,Pyrisitia,,lisa,,species,,synonym,EN,,,"|{conservation_status:{grank:,srank:,sgcn:}}",,,,"|{conservation_status:{grank:,srank:,sgcn:}}"
VBS:7.1,VBS:7.1,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. | Leong, J.V. et al. (2025), Around the World in 26 Million Years: Diversification and Biogeography of Pantropical Grass-Yellow Eurema Butterflies (Pieridae: Coliadinae). J Biogeogr, 52: e15107. https://doi.org/10.1111/jbi.15107",Eurema lisa,Eurema lisa,VBS:7.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Coliadinae,Eurema,Eurema,lisa,,species,"(Boisduval & Le Conte, [1830])",accepted,EN,,376,"|{conservation_status:{grank:,srank:SNA,sgcn:}}",,SNA,,"|{conservation_status:{grank:,srank:SNA,sgcn:}}"
VBS:8,VBS:8,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Colias philodice,Colias philodice,VBS:8,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Coliadinae,Colias,,philodice,,species,"Godart, 1819",accepted,EN,,401,"|{conservation_status:{grank:,srank:S5,sgcn:}}",,S5,,"|{conservation_status:{grank:,srank:S5,sgcn:}}"
VBS:9,VBS:9,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Colias eurytheme,Colias eurytheme,VBS:9,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Coliadinae,Colias,,eurytheme,,species,"Boisduval, 1832",accepted,EN,,402,"|{conservation_status:{grank:,srank:S5,sgcn:}}",,S5,,"|{conservation_status:{grank:,srank:S5,sgcn:}}"
VBS:10,VBS:10,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Colias interior,Colias interior,VBS:10,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Coliadinae,Colias,,interior,,species,"Scudder, 1862",accepted,EN,,403,"|{conservation_status:{grank:,srank:S3,sgcn:}}",,S3,,"|{conservation_status:{grank:,srank:S3,sgcn:}}"
VBS:10.1,VBS:10.1,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Phoebis sennae,Phoebis sennae,VBS:10.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Coliadinae,Phoebis,,sennae,,species,"Linnaeus, 1758",accepted,EN,https://www.e-butterfly.org/ebapp/en/checklists/view/109860,412,"|{conservation_status:{grank:,srank:SNR,sgcn:}}",,SNR,,"|{conservation_status:{grank:,srank:SNR,sgcn:}}"
VBS:11,VBS:11,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Pieris oleracea,Pieris oleracea,VBS:11,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pierinae,Pieris,,oleracea,,species,"(T. Harris, 1829)",accepted,EN,,451,"|{conservation_status:{grank:,srank:S4,sgcn:}}",,S4,,"|{conservation_status:{grank:,srank:S4,sgcn:}}"
VBS:12,VBS:12,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Pieris virginiensis,Pieris virginiensis,VBS:12,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pierinae,Pieris,,virginiensis,,species,"W. H. Edwards, 1870",accepted,EN,,452,"|{conservation_status:{grank:G4,srank:S3,sgcn:1}}",G4,S3,1,"|{conservation_status:{grank:G4,srank:S3,sgcn:1}}"
VBS:13,VBS:13,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Pieris rapae,Pieris rapae,VBS:13,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pierinae,Pieris,,rapae,,species,"(Linnaeus, 1758)",accepted,EN,,448,"|{conservation_status:{grank:,srank:SNA,sgcn:}}",,SNA,,"|{conservation_status:{grank:,srank:SNA,sgcn:}}"
VBS:14,VBS:14,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Feniseca tarquinius,Feniseca tarquinius,VBS:14,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Miletinae,Feniseca,,tarquinius,,species,"(Fabricius, 1793)",accepted,EN,,453,"|{conservation_status:{grank:,srank:S4,sgcn:}}",,S4,,"|{conservation_status:{grank:,srank:S4,sgcn:}}"
VBS:15,VBS:15,,Lycaena phlaeas,Lycaena hypophlaeas,VBS:15.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,,Lycaena,,phlaeas,,species,,synonym,EN,,,"|{conservation_status:{grank:,srank:,sgcn:}}",,,,"|{conservation_status:{grank:,srank:,sgcn:}}"
VBS:15.1,VBS:15.1,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Lycaena hypophlaeas,Lycaena hypophlaeas,VBS:15.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaeninae,Lycaena,,hypophlaeas,,species,"(Boisduval, 1852)",accepted,EN,,454,"|{conservation_status:{grank:,srank:S5,sgcn:}}",,S5,,"|{conservation_status:{grank:,srank:S5,sgcn:}}"
VBS:16,VBS:16,,Lycaena hyllus,Tharsalea hyllus,VBS:16.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,,Lycaena,,hyllus,,species,,synonym,EN,,,"|{conservation_status:{grank:,srank:,sgcn:}}",,,,"|{conservation_status:{grank:,srank:,sgcn:}}"
VBS:16.1,VBS:16.1,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Tharsalea hyllus,Tharsalea hyllus,VBS:16.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaeninae,Tharsalea,Epidemia,hyllus,,species,"(Cramer, 1775)",accepted,EN,,456,"|{conservation_status:{grank:,srank:S5,sgcn:}}",,S5,,"|{conservation_status:{grank:,srank:S5,sgcn:}}"
VBS:17,VBS:17,,Lycaena epixanthe,Tharsalea epixanthe,VBS:17.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,,Lycaena,,epixanthe,,species,,synonym,EN,,,"|{conservation_status:{grank:,srank:,sgcn:}}",,,,"|{conservation_status:{grank:,srank:,sgcn:}}"
VBS:17.1,VBS:17.1,"Pelham, J. (2025). A Catalogue of the Butterflies of the United States and Canada. Revised Oct. 2025. ",Tharsalea epixanthe,Tharsalea epixanthe,VBS:17.1,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaeninae,Tharsalea,,epixanthe,,species,"(Boisduval & Le Conte,1835)",accepted,EN,,459,"|{conservation_status:{grank:G4,srank:S2,sgcn:1}}",G4,S2,1,"|{conservation_status:{grank:G4,srank:S2,sgcn:1}}"
